k,Ev,mes-ano,ONI
1242.1729559748428,0.37347696788473184,Dec-95,0.21840656
1331.3957023060796,0.35263406003865805,Jan-96,0.23270753
1366.7900943396226,0.341077750782483,Feb-96,0.40834782
1360.2727987421383,0.3423058152876982,Mar-96,0.6330898
1449.6399371069183,0.3512778110038351,Apr-96,0.88739014
1581.149895178197,0.3733474563138516,May-96,0.98206484
1559.2363731656185,0.3664152007527763,Jun-96,0.9155319
1431.7093815513626,0.3555530218565933,Jul-96,0.7092175
1319.3262578616352,0.3405600285036875,Aug-96,0.5210309
1332.504716981132,0.34325612989035803,Sep-96,0.34391922
1325.2869496855346,0.345998154785138,Oct-96,0.26663047
1324.5584381551362,0.33714459010893766,Nov-96,0.15647341
1297.7387316561844,0.33460784377257513,Dec-96,0.11258334
1234.9507337526206,0.33533281314691726,Jan-97,-0.042264927
1166.329140461216,0.33490569161309897,Feb-97,-0.26946214
1139.4792976939204,0.3483502617186901,Mar-97,-0.45228714
1172.1087526205451,0.3523492782005695,Apr-97,-0.6157431
1222.225890985325,0.3458163332213511,May-97,-0.5949925
1212.7384696016773,0.3227806296653271,Jun-97,-0.5804117
1263.626572327044,0.33886169996623294,Jul-97,-0.46329454
1311.0513626834381,0.3613313698274786,Aug-97,-0.36239034
1428.1677148846961,0.3580636025874238,Sep-97,-0.28768373
1522.6378406708595,0.3674720299683697,Oct-97,-0.26463738
1602.051886792453,0.3826145219959726,Nov-97,-0.2244332
1724.2028301886792,0.39663888168211114,Dec-97,-0.21435459
1847.8723794549267,0.41831546803907277,Jan-98,-0.15707897
1905.062893081761,0.4314850497724122,Feb-98,-0.1353353
2104.2426624737946,0.46125783339413584,Mar-98,-0.08625796
2216.011006289308,0.47715235281928847,Apr-98,-0.08890042
2370.85927672956,0.49565759794691283,May-98,-0.17591862
2300.895178197065,0.48694972230787803,Jun-98,-0.25961253
2117.8901991614257,0.4576489345989184,Jul-98,-0.20553601
2078.2502620545074,0.45072646091340535,Aug-98,0.04588335
1790.1501572327045,0.41220199796477053,Sep-98,0.3618333
1777.767819706499,0.4086590673265151,Oct-98,0.5867528
1585.422431865828,0.37724899974052273,Nov-98,0.7518385
1596.388888888889,0.3804034388179217,Dec-98,0.9404196
1698.466719077568,0.3979278686973349,Jan-99,1.2107798
1689.0013102725368,0.3986129250293664,Feb-99,1.5736128
1940.7651991614255,0.43310293454509213,Mar-99,1.8132374
2060.95571278826,0.44963841424691176,Apr-99,1.9453228
2138.340146750524,0.4632815830230619,May-99,1.9666958
1954.232180293501,0.4400953168847279,Jun-99,1.8649457
1809.0151991614255,0.41514990522536366,Jul-99,1.636267
1785.0267295597484,0.41210402670661106,Aug-99,1.1830404
1635.6325995807128,0.3853179171372199,Sep-99,0.9280777
1711.107180293501,0.4013723872013557,Oct-99,0.42238986
1650.3993710691823,0.3933500163055661,Nov-99,-0.041978296
1659.8503668763103,0.3872285062719565,Dec-99,-0.5935822
1556.452568134172,0.3745998384937023,Jan-00,-0.6993563
1436.0005241090146,0.3674620625110064,Feb-00,-0.6846171
1340.2769916142558,0.34592078756013045,Mar-00,-0.6301869
1329.9554507337525,0.342841094187521,Apr-00,-0.8040149
1299.643605870021,0.34017509395828577,May-00,-1.0042382
1231.0393081761006,0.3258857335271674,Jun-00,-1.1116525
1198.7874737945492,0.33024067871271323,Jul-00,-0.95984495
1216.9444444444443,0.3330257588636433,Aug-00,-0.7483964
1129.4601677148846,0.35816790106409313,Sep-00,-0.5540225
1165.8126310272537,0.31647604293657905,Oct-00,-0.495483
1152.1585429769393,0.3074764636977931,Nov-00,-0.45656565
1220.1307651991615,0.3662455837904596,Dec-00,-0.6001646
1353.8907232704403,0.34671942059087923,Jan-01,-0.7060592
1457.4468029350105,0.3590721976274157,Feb-01,-0.7236713
1458.0285639412998,0.35619322756380334,Mar-01,-0.7738954
1529.0306603773586,0.36631803291994636,Apr-01,-0.932238
1530.3087002096436,0.36388620980755787,May-01,-1.19816
1507.9289832285115,0.363314221849094,Jun-01,-1.2668371
1290.7866876310272,0.33491216424615516,Jul-01,-1.1847072
1241.381289308176,0.33483592514923494,Aug-01,-0.9527021
1115.2589098532494,0.3115196889842734,Sep-01,-0.73329663
1147.8383123689728,0.3128956081495974,Oct-01,-0.5422569
1150.0959119496856,0.3118122639706809,Nov-01,-0.39796883
1286.1606394129979,0.3551683477717153,Dec-01,-0.3226155
1417.586215932914,0.3570089282194829,Jan-02,-0.27034748
1573.5041928721173,0.3790900012463783,Feb-02,-0.27341792
1590.1996855345913,0.38023226428144663,Mar-02,-0.3554503
1596.7028301886792,0.379527864485763,Apr-02,-0.44617233
1558.795859538784,0.37560233388493003,May-02,-0.588198
1474.7340146750523,0.367191338776041,Jun-02,-0.52243817
1399.840932914046,0.3718478635976085,Jul-02,-0.44359142
1281.5476939203354,0.3680904343176142,Aug-02,-0.2792702
1271.8786687631027,0.3437876789046029,Sep-02,-0.18702295
1200.4289832285115,0.347967477881033,Oct-02,-0.06476707
1217.9724842767296,0.3287197472202428,Nov-02,0.039832614
1319.8791928721173,0.3376536455214885,Dec-02,0.18612583
1426.982180293501,0.35734280668275076,Jan-03,0.2592042
1494.4772012578617,0.3659375374725992,Feb-03,0.36153263
1534.908280922432,0.36927941557371896,Mar-03,0.2473117
1530.1656184486374,0.3668974023632551,Apr-03,0.10490025
1502.1648322851154,0.3558764848978173,May-03,-0.08393302
1409.9412997903564,0.3487177837954048,Jun-03,-0.07581677
1333.7046645702305,0.36625797177914216,Jul-03,0.04102412
1257.631289308176,0.4390780082529303,Aug-03,0.15823878
1292.9994758909854,0.3381883855598132,Sep-03,0.260188
1359.7261530398323,0.3431886442212215,Oct-03,0.42401588
1382.2859014675053,0.349417502494142,Nov-03,0.5531755
1291.1223794549267,0.3333795750231049,Dec-03,0.7116408
1291.4261006289307,0.3411917299163482,Jan-04,0.7363553
1237.5500524109016,0.3317186347266307,Feb-04,0.85262626
1221.3273060796646,0.33004692061511676,Mar-04,0.9461126
1212.3142033542977,0.3260084634180121,Apr-04,0.9905891
1234.9038259958072,0.34542105643725673,May-04,0.9384341
1174.2494758909854,0.32183583490975326,Jun-04,0.77005947
1130.66928721174,0.329063175958971,Jul-04,0.5906435
1136.183176100629,0.3361120569289707,Aug-04,0.34425777
1146.8993710691823,0.36293861513213777,Sep-04,0.12401306
1123.9575471698113,0.3350716338070025,Oct-04,0.010750368
1135.7714884696018,0.3448098708645764,Nov-04,0.08124519
1098.45964360587,0.3209962530149378,Dec-04,0.1782151
1094.5657756813416,0.3573454918250475,Jan-05,0.28183728
1056.9918763102726,0.36733931488797356,Feb-05,0.41814286
1075.88286163522,0.30441900879776446,Mar-05,0.5406502
1053.9706498951782,0.29440675204541794,Apr-05,0.6342347
1104.3844339622642,0.3261366289190308,May-05,0.5028796
1144.1601153039833,0.33906243089060567,Jun-05,0.3627541
1193.958857442348,0.3282483164860498,Jul-05,0.25234377
1190.8681865828091,0.3372740099516515,Aug-05,0.26023245
1219.4884696016773,0.3308299706197665,Sep-05,0.3424254
1243.1134696016773,0.34417718639754674,Oct-05,0.3933608
1265.4072327044025,0.3577901095141981,Nov-05,0.38005948
1205.6090146750523,0.3408862227339521,Dec-05,0.48557198
1266.6808176100628,0.3597416557875098,Jan-06,0.56273687
1239.436320754717,0.335227451273553,Feb-06,0.7893156
1205.6077044025158,0.3342499438268685,Mar-06,0.8604163
1218.2209119496856,0.3374735414794551,Apr-06,0.97259676
1213.597746331237,0.3409736964245023,May-06,0.97374153
1211.587002096436,0.3350685257432135,Jun-06,0.9606091
1258.3645178197064,0.3512954950132835,Jul-06,0.83332694
1214.4808700209644,0.33473756412672884,Aug-06,0.72893655
1219.750786163522,0.3455294693849648,Sep-06,0.667298
1198.2552410901467,0.3626591446060326,Oct-06,0.7341669
1168.349318658281,0.35361707187418423,Nov-06,0.7486472
1189.7038784067086,0.349484941432066,Dec-06,0.68061393
1359.5794025157234,0.3490800008946917,Jan-07,0.60569054
1417.5951257861636,0.3495210106635325,Feb-07,0.56244326
